OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
9E,CVG,DCA,1.00,2
9E,DCA,CVG,1.00,2
9E,LGA,ORF,1.00,2
9E,ORF,LGA,1.00,2
9E,JFK,RIC,1.00,2
9E,RIC,JFK,1.00,2
9E,PHF,ATL,0.00,3
9E,LGA,RIC,1.00,2
9E,RIC,LGA,1.00,2
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,IAD,JFK,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,JFK,IAD,1.00,1
9E,LGA,ORF,1.00,2
9E,ORF,LGA,1.00,2
9E,IAD,JFK,1.00,1
9E,JFK,IAD,1.00,1
9E,IAD,JFK,1.00,1
9E,JFK,IAD,1.00,1
9E,ORF,LGA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,1.00,2
9E,RIC,JFK,1.00,2
9E,JFK,ORF,1.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,0.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ATL,ROA,1.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,1.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,0.00,2
9E,ROA,ATL,1.00,2
