Region,Domestic,International,Total,,
North Africa,1.8%,0.7%,0.9%,,Source: OAG
Southern Africa,1.1%,-0.1%,0.6%,,
Central/Western Africa,-0.1%,-0.6%,-0.3%,,Note: This week vs last week
Eastern Africa,0.2%,1.2%,0.8%,,
South Asia,-0.3%,0.3%,-0.2%,,
Central Asia,-1.3%,2.2%,0.3%,,
South East Asia,0.1%,1.3%,0.5%,,
North East Asia,16.0%,3.5%,15.0%,,
Western Europe,-0.5%,-0.6%,-0.5%,,
Eastern Europe,-1.8%,-1.7%,-1.8%,,
Caribbean,0.6%,1.6%,1.5%,,
Central America,0.2%,1.1%,0.5%,,
Upper South America,1.6%,-0.2%,1.2%,,
Lower South America,-6.1%,0.2%,-5.3%,,
Middle East,-0.9%,1.3%,0.8%,,
North America,0.5%,0.3%,0.5%,,
Southwest Pacific,-2.6%,-1.1%,-2.3%,,
Grand Total,3.8%,0.1%,2.4%,,
