Week,2019,2020,2021,2022,2022 (scheduled capacity),,
2,"62,590,570","65,064,958","46,967,266","58,655,466",,,Source: OAG
3,"62,426,826","65,137,871","44,717,538","56,685,204",,,
4,"63,240,042","65,031,880","43,464,096","56,042,546",,,
5,"63,563,705","65,114,612","41,768,710","55,895,475",,,
6,"63,143,485","61,174,697","41,389,012","52,995,141",,,
7,"64,018,640","55,883,336","38,788,238","57,128,195",,,
8,"64,013,778","55,340,963","43,171,422","57,391,054",,,
9,"64,003,543","56,556,938","43,686,683","58,039,042",,,
10,"63,901,384","59,938,535","47,337,255","57,857,165",,,
11,"64,225,214","59,422,574","48,359,806","57,652,097",,,
12,"63,783,092","59,107,241","49,187,172","57,607,441",,,
13,"63,472,599","52,882,928","49,490,612","55,961,572",,,
14,"64,202,432","40,258,687","50,670,740","55,284,439",,,
15,"64,484,277","31,815,621","51,792,045","54,917,976",,,
16,"63,853,717","27,804,514","51,341,067","55,719,516",,,
17,"64,316,134","27,008,889","50,424,932","55,867,839",,,
18,"64,262,086","27,463,085","50,824,872","58,372,757",,,
19,"64,354,707","25,038,719","50,952,112","57,570,498",,,
20,"64,431,267","25,553,963","50,456,712","59,428,983",,,
21,"64,409,384","27,484,238","51,667,354","59,024,639",,,
22,"65,195,090","27,357,055","51,218,193","56,333,867",,,
23,"65,840,585","31,130,438","53,332,082","57,197,480",,,
24,"67,066,544","31,251,750","53,523,155","61,219,220",,,
25,"66,670,367","32,976,576","54,565,976","62,129,413",,,
26,"67,095,140","32,564,605","55,334,786","63,291,417",,,
27,"66,322,359","37,908,179","55,911,773","63,691,779",,,
28,"68,294,629","39,145,225","57,758,440","64,613,923",,,
29,"68,526,413","41,773,077","58,198,817","65,347,251",,,
30,"68,480,972","43,459,254","59,927,571","65,248,264",,,
31,"68,294,064","44,000,989","58,659,235","64,675,502",,,
32,"68,340,141","45,182,724","57,612,043","65,000,778",,,
33,"68,202,139","44,805,148","52,046,619","65,183,252",,,
34,"67,487,431","44,857,083","52,327,999","65,151,310",,,
35,"66,442,416","44,239,484","52,824,543","64,177,895",,,
36,"66,079,744","44,393,413","54,798,258","62,846,985",,,
37,"66,114,570","43,329,209","54,737,173","60,684,870",,,
38,"66,324,306","43,709,592","55,720,280","60,843,224",,,
39,"66,525,569","44,118,296","55,451,964","61,836,350",,,
40,"66,568,331","45,615,808","55,586,122","62,797,964",,,
41,"66,466,671","45,782,294","55,447,330","60,128,859",,,
42,"66,348,230","45,681,150","56,108,958","62,407,459",,,
43,"65,959,793","44,965,869","56,462,911",,"65,309,547",,
44,"64,415,685","44,346,493","55,286,198",,"65,400,249",,
45,"65,419,569","44,899,298","55,183,835",,"63,533,238",,
46,"65,516,805","44,992,582","53,314,742",,"63,776,993",,
47,"65,727,246","45,657,638","54,494,375",,"64,063,514",,
48,"64,648,591","46,137,395","54,585,440",,"63,516,473",,
49,"65,099,048","45,836,556","58,327,301",,"64,119,327",,
50,"64,811,352","45,182,286","58,875,472",,"64,300,403",,
51,"66,109,718","47,715,951","60,341,032",,"64,670,661",,
52,"64,060,324","48,679,411","60,620,530",,"63,769,480",,
53,"64,166,896","49,477,759","61,286,590",,"63,616,464",,
