Week,2019,2020,2021,2022,2022 (scheduled capacity),,
2,"104,274,298","107,929,252","59,284,496","83,977,738",,,Source: OAG
3,"103,315,460","106,852,915","55,264,419","77,942,134",,,
4,"104,109,839","106,713,091","53,405,622","76,273,044",,,
5,"104,731,256","106,838,178","51,343,627","75,737,155",,,
6,"104,540,994","101,838,474","51,041,966","73,768,296",,,
7,"105,874,042","94,972,086","48,157,567","78,908,923",,,
8,"106,047,110","93,926,418","52,673,328","80,087,084",,,
9,"106,161,003","94,830,966","53,100,131","81,241,652",,,
10,"106,106,958","97,543,707","57,167,167","82,118,443",,,
11,"106,470,512","94,981,061","57,962,810","82,010,974",,,
12,"105,979,210","90,472,323","58,971,062","82,087,245",,,
13,"105,702,590","69,399,998","59,813,372","80,799,739",,,
14,"108,666,175","48,938,693","62,125,215","83,401,086",,,
15,"109,493,924","37,806,986","63,242,810","83,928,510",,,
16,"108,982,290","32,737,305","62,347,642","85,203,733",,,
17,"109,884,641","31,085,630","61,131,134","85,712,613",,,
18,"110,063,116","32,553,578","61,879,859","88,560,930",,,
19,"109,675,731","30,577,575","62,316,622","88,952,784",,,
20,"109,692,731","31,292,023","62,078,017","90,707,564",,,
21,"110,120,283","33,729,625","64,075,249","90,522,172",,,
22,"111,780,940","34,749,377","63,836,742","88,548,297",,,
23,"113,958,846","36,777,689","67,893,305","90,660,936",,,
24,"115,793,635","37,273,357","68,357,971","95,226,716",,,
25,"115,532,637","39,960,926","70,861,939","96,596,531",,,
26,"116,574,881","39,911,842","72,411,107","98,507,843",,,
27,"116,330,811","48,207,167","75,522,830","99,891,488",,,
28,"118,488,219","49,577,471","78,635,778","101,441,259",,,
29,"118,898,978","53,813,851","79,828,215","102,164,166",,,
30,"119,079,025","55,750,190","82,708,203","102,071,687",,,
31,"119,123,242","57,487,639","81,666,365","101,783,924",,,
32,"118,998,100","60,042,355","81,275,317","102,347,900",,,
33,"118,795,089","59,780,610","75,965,491","102,553,919",,,
34,"117,968,826","59,712,881","76,340,121","102,475,049",,,
35,"116,619,007","59,016,267","76,892,280","101,519,072",,,
36,"115,270,436","58,442,282","79,061,672","100,093,988",,,
37,"114,726,437","57,120,909","78,474,119","97,271,285",,,
38,"114,288,348","57,041,448","79,033,260","96,724,259",,,
39,"114,126,704","56,942,519","78,809,380","97,386,181",,,
40,"113,337,241","58,547,278","78,989,027","98,069,893",,,
41,"112,687,637","58,351,597","78,611,081","94,965,421",,,
42,"112,351,213","57,899,869","79,351,052","97,265,952",,,
43,"111,254,429","56,664,447","79,156,928",,"99,440,239",,
44,"107,178,399","55,662,367","78,490,982",,"99,857,209",,
45,"107,049,497","55,677,749","77,847,746",,"96,535,067",,
46,"106,576,179","54,700,205","75,399,503",,"96,154,003",,
47,"106,716,316","54,763,699","76,441,045",,"96,311,990",,
48,"105,395,758","55,168,538","76,488,537",,"95,700,289",,
49,"106,409,913","55,266,234","80,921,524",,"96,835,489",,
50,"106,689,656","55,099,431","82,030,851",,"97,750,145",,
51,"110,221,227","59,916,619","85,244,203",,"99,013,538",,
52,"106,863,565","60,973,666","85,926,652",,"97,818,289",,
53,"108,258,750","61,718,555","87,698,547",,"98,245,095",,
