Date,Open,High,Low,Close,Volume
03/11/2021,"48.21","48.96","47.58","48.32","11,318,570"
03/10/2021,"47.65","48.58","47.16","47.80","10,719,320"
03/09/2021,"47.96","48.08","46.34","47.62","11,710,070"
03/08/2021,"46.93","48.22","46.70","47.88","17,272,990"
03/05/2021,"46.91","47.00","43.01","46.21","20,611,789"
03/04/2021,"48.32","48.41","45.32","46.96","18,062,480"
03/03/2021,"48.62","49.09","48.14","48.35","13,642,680"
03/02/2021,"48.10","48.68","47.38","48.23","11,566,750"
03/01/2021,"49.47","49.96","48.06","48.06","13,812,920"
02/26/2021,"47.70","49.14","47.28","47.94","14,828,020"
02/25/2021,"49.97","50.00","47.23","48.25","15,729,780"
02/24/2021,"48.93","50.20","48.62","49.60","17,020,900"
02/23/2021,"48.13","48.88","45.70","48.34","19,193,789"
02/22/2021,"46.75","48.93","46.47","47.74","21,573,510"
02/19/2021,"44.62","46.22","44.55","45.67","14,587,720"
02/18/2021,"43.80","44.55","43.37","44.38","8,756,266"
02/17/2021,"44.28","44.50","43.54","44.39","10,945,650"
02/16/2021,"43.99","44.81","43.78","44.65","13,775,480"
02/12/2021,"42.51","43.94","42.41","43.29","11,490,110"
02/11/2021,"42.70","43.14","42.00","42.72","8,549,181"
02/10/2021,"42.84","43.22","42.16","42.90","12,011,060"
02/09/2021,"42.96","42.96","41.81","42.51","10,432,070"
02/08/2021,"41.55","43.46","41.36","43.24","18,296,301"
02/05/2021,"41.38","41.40","40.75","41.15","10,111,940"
02/04/2021,"39.95","41.07","39.94","40.93","11,431,800"
02/03/2021,"38.87","39.90","38.70","39.78","12,415,970"
02/02/2021,"38.55","38.88","37.99","38.80","11,854,260"
02/01/2021,"38.35","38.44","37.42","37.82","10,332,930"
01/29/2021,"39.27","39.83","37.74","37.96","17,989,711"
01/28/2021,"39.55","40.37","38.99","40.08","21,654,010"
01/27/2021,"38.63","39.23","38.16","38.52","16,953,391"
01/26/2021,"39.26","39.64","38.98","39.32","10,599,370"
01/25/2021,"39.63","39.75","38.42","38.90","15,964,900"
01/22/2021,"40.00","40.27","39.81","40.00","11,310,060"
01/21/2021,"41.31","41.43","40.17","40.67","11,155,110"
01/20/2021,"40.69","41.77","40.50","41.62","11,335,700"
01/19/2021,"40.31","40.65","39.80","40.31","11,530,690"
01/15/2021,"41.67","41.67","39.96","39.98","15,465,540"
01/14/2021,"41.21","42.64","41.12","41.47","17,658,311"
01/13/2021,"40.01","40.74","39.63","40.45","10,852,470"
01/12/2021,"39.69","40.41","39.16","40.30","9,725,010"
01/11/2021,"39.08","39.99","38.90","39.41","11,754,900"
01/08/2021,"40.41","40.69","39.77","40.02","9,497,467"
01/07/2021,"40.45","40.95","40.21","40.23","9,136,267"
01/06/2021,"39.64","40.90","39.54","40.38","12,881,080"
01/05/2021,"38.49","40.09","38.45","39.55","12,317,220"
01/04/2021,"40.17","40.34","38.33","38.73","15,123,450"
12/31/2020,"40.30","40.74","39.76","40.21","8,705,736"
12/30/2020,"40.00","40.91","39.89","40.56","8,504,632"
12/29/2020,"40.84","40.84","39.90","40.03","8,142,801"
12/28/2020,"40.27","40.78","40.01","40.15","10,654,380"
12/24/2020,"40.42","40.44","39.61","39.73","5,176,408"
12/23/2020,"39.30","40.47","39.18","40.24","12,659,680"
12/22/2020,"40.43","40.49","38.84","38.94","13,519,980"
12/21/2020,"39.56","40.35","39.16","40.14","16,976,840"
12/18/2020,"40.88","41.03","40.28","40.68","14,312,420"
12/17/2020,"41.30","41.42","40.61","41.11","9,656,677"
12/16/2020,"41.75","41.81","40.66","41.08","11,010,590"
12/15/2020,"41.20","41.93","40.16","41.85","11,453,770"
12/14/2020,"42.25","42.38","40.67","40.69","12,445,160"
12/11/2020,"42.01","42.43","41.14","41.74","12,223,110"
12/10/2020,"41.16","42.75","41.07","42.62","10,680,660"
12/09/2020,"43.05","43.48","41.33","42.11","16,348,300"
12/08/2020,"41.95","42.88","41.77","42.41","11,530,280"
12/07/2020,"42.40","42.83","41.74","42.35","13,169,110"
12/04/2020,"43.20","43.49","42.07","42.36","18,453,381"
12/03/2020,"41.70","43.76","41.56","42.95","24,526,760"
12/02/2020,"39.81","41.28","39.06","41.07","12,937,350"
12/01/2020,"40.79","41.06","39.92","39.96","13,223,630"
11/30/2020,"40.53","41.05","39.35","40.25","16,732,619"
11/27/2020,"41.79","42.19","40.78","41.06","10,516,620"
11/25/2020,"40.80","41.49","40.05","41.29","14,588,870"
11/24/2020,"40.05","41.29","39.41","41.26","23,817,971"
11/23/2020,"37.80","38.85","37.43","38.79","14,802,880"
11/20/2020,"37.99","38.09","36.97","37.13","12,490,550"
11/19/2020,"37.59","38.13","37.48","37.91","13,981,580"
11/18/2020,"38.09","39.30","37.89","37.91","21,199,180"
11/17/2020,"37.40","38.05","36.66","37.60","16,952,699"
11/16/2020,"38.43","38.65","37.24","38.00","25,376,590"
11/13/2020,"34.95","36.68","34.85","36.46","20,870,461"
11/12/2020,"34.09","35.55","34.02","34.38","21,696,881"
11/11/2020,"36.64","36.79","34.73","35.02","20,970,410"
11/10/2020,"36.10","37.17","35.69","37.04","28,449,381"
11/09/2020,"37.40","38.69","34.68","36.77","58,086,434"
11/06/2020,"31.67","31.84","31.03","31.42","11,821,150"
11/05/2020,"30.85","32.26","30.80","31.98","13,145,060"
11/04/2020,"30.91","31.31","30.11","30.43","12,348,480"
11/03/2020,"30.94","31.36","30.64","30.90","14,257,920"
11/02/2020,"30.62","30.63","29.67","30.22","14,200,870"
10/30/2020,"30.52","30.99","29.99","30.64","15,235,400"
10/29/2020,"29.46","30.91","29.34","30.76","16,962,289"
10/28/2020,"29.76","30.15","28.74","29.65","22,720,891"
10/27/2020,"31.75","32.06","30.69","30.71","13,442,020"
10/26/2020,"33.50","33.50","31.53","31.93","16,558,340"
10/23/2020,"33.52","34.04","32.90","34.00","15,247,340"
10/22/2020,"31.87","33.81","31.72","33.72","25,713,689"
10/21/2020,"31.89","31.94","31.37","31.50","11,292,280"
10/20/2020,"31.97","32.41","31.59","31.98","14,244,280"
10/19/2020,"31.70","32.27","31.31","31.50","14,588,700"
10/16/2020,"31.40","31.76","31.24","31.47","11,143,560"
10/15/2020,"31.38","31.46","30.69","31.34","11,922,260"
10/14/2020,"31.77","32.32","31.65","31.76","16,512,631"
10/13/2020,"31.90","32.39","31.48","31.77","22,421,150"
10/12/2020,"32.68","32.81","32.30","32.64","12,065,760"
10/09/2020,"32.71","33.27","32.29","32.81","16,730,619"
10/08/2020,"32.69","33.00","31.92","32.68","18,123,840"
10/07/2020,"32.22","32.36","31.64","32.15","15,416,580"
10/06/2020,"32.63","32.72","30.91","31.06","20,317,100"
10/05/2020,"32.35","32.43","31.52","32.00","14,807,070"
10/02/2020,"29.75","32.30","29.61","31.75","27,126,010"
10/01/2020,"30.99","31.36","30.58","31.10","12,501,910"
09/30/2020,"30.99","31.85","30.48","30.58","16,664,141"
09/29/2020,"31.10","31.11","30.30","30.61","14,831,170"
09/28/2020,"30.60","31.96","30.14","31.34","22,098,410"
09/25/2020,"28.82","29.79","28.78","29.78","21,831,520"
09/24/2020,"29.12","29.51","27.92","29.01","22,257,820"
09/23/2020,"30.44","31.03","29.49","29.56","17,358,070"
09/22/2020,"29.81","30.54","29.72","30.22","18,035,260"
09/21/2020,"31.16","31.20","29.42","29.82","34,449,922"
09/18/2020,"33.22","34.02","32.58","32.84","35,079,230"
09/17/2020,"33.97","35.07","33.64","33.96","26,014,779"
09/16/2020,"33.80","34.99","33.19","34.57","26,076,840"
09/15/2020,"33.20","34.48","33.10","33.51","22,656,439"
09/14/2020,"32.29","32.90","32.01","32.82","16,333,010"
09/11/2020,"31.81","32.13","31.34","31.70","14,344,070"
09/10/2020,"32.18","32.71","31.67","31.79","17,711,279"
09/09/2020,"32.17","32.44","31.32","31.76","19,362,680"
09/08/2020,"31.40","33.10","31.34","32.54","28,129,420"
09/04/2020,"31.79","32.37","30.61","31.77","25,878,689"
09/03/2020,"31.63","32.53","30.47","31.22","29,474,910"
09/02/2020,"30.40","31.30","30.14","31.14","16,307,700"
09/01/2020,"30.02","31.61","29.75","30.71","20,081,180"
08/31/2020,"31.81","32.01","30.80","30.85","18,262,660"
08/28/2020,"31.25","31.99","30.73","31.99","20,469,730"
08/27/2020,"30.81","32.21","30.62","30.82","31,795,180"
08/26/2020,"30.01","30.22","29.62","29.95","18,877,250"
08/25/2020,"30.00","30.28","29.33","30.10","31,001,949"
08/24/2020,"27.66","29.80","27.54","29.80","34,251,031"
08/21/2020,"27.56","27.86","27.17","27.27","10,897,500"
08/20/2020,"27.52","27.79","27.02","27.62","14,010,160"
08/19/2020,"27.75","29.12","27.56","27.67","21,082,131"
08/18/2020,"28.00","28.28","27.37","27.63","14,222,500"
08/17/2020,"29.04","29.04","27.76","28.02","14,568,990"
08/14/2020,"28.30","29.19","28.15","28.95","13,107,830"
